#
# $ make update_params
# copying: public domain
|uim-fepの|あたらしい|ばーじょん| |uim-fepの|新しい|バージョン|
|ひづけを|４がつ|１にちにする| |日付を|４月|１日にする|
|ひていてきな|かたちで| |否定的な|形で|
|ひとが|いないか|さがしてみる| |人が|いないか|探してみる|
|ひとつずつ|がぞうとか|おとを|じゅんびしている| |一つずつ|画像とか|音を|準備している|
|ひとつの|ぶんの|しゅうりょう| |一つの|文の|終了|
|ひとに|かわれる| |人に|買われる|
|ひとによっては|きにする|ばあいが|ある| |人によっては|気にする|場合が|ある|
|ひょうめんが|さんかしている| |表面が|酸化している|
|ひょうめんしか|みようとしていないことが|あきらかだ| |表面しか|見ようとしていないことが|明らかだ|
|ひるから|はじめたら|ひがくれる| |昼から|始めたら|日が|暮れる|
|ひるからの|よてい| |昼からの|予定|
|ひるすぎまで|ねた| |昼過ぎまで|寝た|
|ひるまでに| |昼までに|
|ひんど|かんけいの|ごへんかんが|めだつようになってきた| |頻度|関係の|誤変換が|目立つようになってきた|
|びーるを|てにいれるために|ちょうじかん|あるく| |ビールを|手に入れるために|長時間|歩く|
|びょういんでの|しりあい| |病院での|知り合い|
|びょうどうに|じかんを|はいぶんするという|こんせぷとのようです| |平等に|時間を|配分するという|コンセプトのようです|
|びわこの|そばで|がっしゅくする| |琵琶湖の|そばで|合宿する|
|ぴざばっかり|くって|ふとるのは|かんたんだ| |ピザばっかり|食って|太るのは|簡単だ|
|ぴざばっかり|くってると|ふとる| |ピザばっかり|食ってると|太る|
|ふぁいる|じしょ| |ファイル|辞書|
|ふぁいるの|ゆくえが|わからなくなった| |ファイルの|行方が|分からなくなった|
|ふえるばっかりで|へらない|ちょきんが|ほしい| |増えるばっかりで|減らない|貯金が|欲しい|
|ふかく|つきつめた|ときの|はなし| |深く|突きつめた|時の|話|
|ふくごうごを|ゆうせんする|ろじっくが|へんだ| |複合語を|優先する|ロジックが|変だ|
|ふくすうの|けんさく|きーに|たいする|けんさくを|いちどに|おこなう| |複数の|検索|キーに|対する|検索を|一度に|行う|
|ふくすうの|もじれつの|けんさくを|どうじに|おこなうことで|こうりつを|たかめることを|ねらっています| |複数の|文字列の|検索を|同時に|行うことで|効率を|高めることを|狙っています|
|ふくの|こうぞうが|よく|わからないので|とりあえず|はんずぼん| |服の|構造が|よく|分からないので|とりあえず|半ズボン|
|ふしみいなりっぽいんかな| |伏見稲荷っぽいんかな|
|ふたの|おおきさから|ぎゃくさんする| |ふたの|大きさから|逆算する|
|ふだん|つかっている|のーとの|せっていを|かえた| |普段|使っている|ノートの|設定を|変えた|
|ふつうに|かぶか|さがってるから|よく|わからん| |普通に|株価|下がってるから|よく|分からん|
|ふつうに|つかっても|せいのうが|でなさそうな|りゆうが|いっぱい|ある| |普通に|使っても|性能が|出なさそうな|理由が|いっぱい|ある|
|ふつうに|よみものとして|なかなか|よい| |普通に|読み物として|なかなか|良い|
|ふつうの|ひとたちなので|ふつうの|たいおうを|おねがいします| |普通の|人達なので|普通の|対応を|お願いします|
|ふつうのでも|きたいしてしまいます| |普通のでも|期待してしまいます|
|ふらんす|ぱんを|たべた| |フランス|パンを|食べた|
|ふるほん|かいに|いくの|めんどうだった| |古本|買いに|行くの|面倒だった|
|ふれーむ|れーと|おとしすぎ| |フレーム|レート|落としすぎ|
|ぶしつにも|おくってみようかな| |部室にも|送ってみようかな|
|ぶたいの|いじを|のぞむ| |部隊の|維持を|望む|
|ぶちょう|がわの|せきに|いどうする| |部長|側の|席に|移動する|
|ぶっしを|うしなうことから|すべて|はじまる| |物資を|失うことから|全て|始まる|
|ぶっちゃけ|ほとんど|いったことが|ない| |ぶっちゃけ|ほとんど|行ったことが|無い|
|ぶらうざからだと|ただしく|みえないな| |ブラウザからだと|正しく|見えないな|
|ぶりと|だいこんみたいに|あいしょうが|よかったかもしれない| |ぶりと|大根みたいに|相性が|良かったかもしれない|
|ぶんせつの|くぎりかたが|かいぜんされた| |文節の|区切りかたが|改善された|
|ぶんせつの|しゅうへん|じょうほうを|あつめる| |分節の|周辺|情報を|集める|
|ぶんせつの|ながさを|れいぶんで|しめされた|ものに|あわせる| |文節の|長さを|例文で|示された|物に|あわせる|
|ぷろじぇくとを|かいしした| |プロジェクトを|開始した|
|へいしゃが|このさき|いきのこるには| |弊社が|この先|生き残るには|
|へいそは|かくべつの|ごこうはいを|たまわり|、|あつく|おんれい|もうしあげます| |平素は|格別の|ご高配を|賜り|、|厚く|御礼|申し上げます|
|へたな|ほんやくを|ぼうよみされてる|かんじだ| |下手な|翻訳を|棒読みされてる|感じだ|
|へや|せまいから|あんまり|かぐ|はいらない| |部屋|狭いから|あんまり|家具|入らない|
|へんか| |変化|
|へんかん|じに|りようされるようになります| |変換|時に|利用されるようになります|
|へんかんえんじんの|こうせいまで|ふみこんだ|きじというのは|めずらしく| |変換エンジンの|構成まで|踏み込んだ|記事というのは|珍しく|
|へんかんが|ろんぶん|しようになってる| |変換が|論文|仕様になってる|
|へんかんせいどに|えいきょうする|ばぐが|あったので| |変換精度に|影響する|バグが|あったので|
|へんかんもとの|もじれつを|きーに|けんさく| |変換元の|文字列を|キーに|検索|
|へんな|こと|いってられるのも|いまのうちだ| |変な|事|言ってられるのも|今のうちだ|
|へんぼうを|とげつつ|ある| |変貌を|遂げつつ|ある|
|べつ|ましんでの|かきこみ|てすと| |別|マシンでの|書き込み|テスト|
|べつに|きみらの|あいだがらに|きょうみは|ない| |別に|君らの|間柄に|興味は|無い|
|べつに|てんいんなんか|どうでも|いいじゃん| |別に|店員なんか|どうでも|いいじゃん|
|べつの|くうかんへの|しゃぞうとして|ていぎされる| |別の|空間への|写像として|定義される|
|べつの|ところにも|きじを|おかきに|なっている| |別の|ところにも|記事を|お書きに|なっている|
|べつの|ほうこうに|しんかすることを|めざす| |別の|方向に|進化することを|目指す|
|べつものだと|すれば| |別物だと|すれば|
|べんきょうしたら|ほんきで|まけな|きがする| |勉強したら|本気で|負けな|気がする|
|べんりなのに|ふきゅうしない| |便利なのに|普及しない|
|ぺっとを|かう| |ペットを|飼う|
|ほうこくせよ| |報告せよ|
|ほうそうを|つづけることが|こんなんになった| |放送を|続けることが|困難になった|
|ほうちょうも|まないたも|ばしょが|わからなくなりました| |包丁も|まな板も|場所が|分からなくなりました|
|ほうっておいたら|こすとが|へんかする| |放っておいたら|コストが|変化する|
|ほかに|つごうの|わるい|かたが|いらっしゃらなければ| |他に|都合の|悪い|方が|いらっしゃらなければ|
|ほかの|ひとより|とまりこみの|かいすうは|すくなくて|すみそう| |他の|人より|泊まり込みの|回数は|少なくて|済みそう|
|ほかの|ぷろばいだとの|けいやく| |他の|プロバイダとの|契約|
|ほしい|ものは|てにいれる| |欲しい|物は|手に入れる|
|ほしからの|びじゃくな|でんぱ| |星からの|微弱な|電波|
|ほぞんじょうたいの|わるい|しゃしんしか|のこってない| |保存状態の|悪い|写真しか|残ってない|
|ほとんど|おかねを|つかわない|せいかつを|している| |ほとんど|お金を|使わない|生活を|している|
|ほとんどが|あんごうか|しょりに|しょうひされてる| |ほとんどが|暗号化|処理に|消費されてる|
|ほぼ|すべての|さぎょうを|じぶんで|おこなう| |ほぼ|全ての|作業を|自分で|行う|
|ほんきになると|ねこ|なみの|そくどが|でる| |本気になると|猫|並の|速度が|出る|
|ほんせん|ようには|めりっとを|いかさないといけない| |本選|用には|メリットを|活かさないといけない|
|ほんたいは|しょしんしゃでも|よういに|つかいこなせる| |本体は|初心者でも|容易に|使いこなせる|
|ほんとうは|でんわで|しじしていた|ははおやの|せいなのだが| |本当は|電話で|指示していた|母親の|せいなのだが|
|ほんとに|じつげんできますか| |ホントに|実現できますか|
|ほんに|かけば|よい| |本に|書けば|よい|
|ほんねを|いうべきでは|ない| |本音を|言うべきでは|ない|
|ほんを|かう| |本を|買う|
|ぼう|しすてむの|かんさ| |某|システムの|監査|
|ぼう|ねこがた|ろぼっと| |某|猫型|ロボット|
|ぼうかんしている|かぎり|てを|ださない| |傍観している|限り|手を|出さない|
|ぼうしの|でざいんが|かわっているので| |帽子の|デザインが|変わっているので|
|ぼうしの|めいげん| |某氏の|名言|
|ぼうしょで|せつめいした|ないようを|めもしておきます| |某所で|説明した|内容を|メモしておきます|
|ぼうふざいが|きれ|だしてからが|ぴんち| |防腐剤が|切れ|出してからが|ピンチ|
|ぼくでも|きみでも|だいじょうぶ| |僕でも|君でも|大丈夫|
|ぼくの|ほうが|さきに|てんしょくしそうです| |僕の|方が|先に|転職しそうです|
|ぼくの|まえの|かいちょうが|はる|がっしゅくで|やってました| |僕の|前の|会長が|春|合宿で|やってました|
|ぼくは|うみが|みえる|ほうが|よいです| |僕は|海が|見える|方が|良いです|
|ぼくは|ほんきを|だしても|ふつうの|ひとなので|もんだい|ありません| |僕は|本気を|出しても|普通の|人なので|問題|ありません|
|ぼくも|このまえ|さんかしたことが|あります| |僕も|この前|参加したことが|あります|
|ぼすは|ほうっておいて|やかたの|せつめいを|しよう| |ボスは|放っておいて|館の|説明を|しよう|
|ぼっとの|しゃべった|ないようで|がくしゅうさせるのは|まずいだろ| |ボットの|喋った|内容で|学習させるのは|不味いだろ|
|ぽっちゃりした|からだを| |ぽっちゃりした|体を|
|まあ|、|ろっくが|やりたいんだろうなあとは|かんじました| |まあ|、|ロックが|やりたいんだろうなあとは|感じました|
|まあ|えいごばんでも|せっていで|にほんごの|きーぼーどは|つかえる| |まあ|英語版でも|設定で|日本語の|キーボードは|使える|
|まあ|じっけん|はやい|だんかいで|おわってるからな| |まあ|実験|早い|段階で|終わってるからな|
|まいかい|おなじじゃないですか|？| |毎回|同じじゃないですか|?|
|まいにち|６じに|きょうと|たわーに|しゅうごうする|ひとの|あつまり| |毎日|6時に|京都|タワーに|集合する|人の|集まり|
|まいにち|すぱむばかり|たいりょうに|やってくる| |毎日|スパムばかり|大量に|やってくる|
|まいにち|だしている|わけでは|ないですからねえ| |毎日|出している|わけでは|無いですからねえ|
|まいにち|やってれば|せいのうは|かいふくするだろうか| |毎日|やってれば|性能は|回復するだろうか|
|まうんとし|わすれていただけだ| |マウントし|忘れていただけだ|
|まえのより|よかった| |前のより|良かった|
|まがったことが|だいすきな|ひとになっている| |曲がったことが|大好きな|人になっている|
|まぎゃくとか|いうようになったのは|さいきんだ| |真逆とか|言うようになったのは|最近だ|
|まくら|たかいのに|ぜんぜん|あんしんできない| |枕|高いのに|全然|安心できない|
|まけたと|おもう|ひつようが|ない|ところで| |負けたと|思う|必要が|無い|所で|
|まさか|ほねつき|にくが|でてくるとは|おもわなかった| |まさか|骨付き|肉が|出てくるとは|思わなかった|
|まずは|うわぎを|ぬいでください| |まずは|上着を|脱いでください|
|また|そのうち|しゅうはすうの|じょうしょうする|じだいが|きそう| |また|そのうち|周波数の|上昇する|時代が|来そう|
|また|でまえ|とったんですか| |また|出前|取ったんですか|
|まだ|しばらく|ぎろんが|つづくのではないでしょうか| |まだ|しばらく|議論が|続くのではないでしょうか|
|まだ|ふあんていな|どうさが|みられるようです| |まだ|不安定な|動作が|見られるようです|
|まだ|もうしこんでないから|、|かいさいされるなら|よゆうだ| |まだ|申し込んでないから|、|開催されるなら|余裕だ|
|まだまだ|ばっふぁに|くらべると|こーどは|ちいさいです| |まだまだ|バッファに|比べると|コードは|小さいです|
|まちがって|ひろうえんの|かいじょうに|いってしまった| |間違って|披露宴の|会場に|行ってしまった|
|まとめて|こんど|もらってこようか| |まとめて|今度|貰ってこようか|
|まどぐちのみで|おとりあつかいします| |窓口のみで|お取り扱いします|
|まにうける|やつの|きが|しれない| |真に受ける|奴の|気が|知れない|
|まもなく|なごやです| |間もなく|名古屋です|
|まるで|ねこみたいですね| |まるで|猫みたいですね|
|まろやかな|こーひーを|のむ| |まろやかな|コーヒーを|飲む|
|まわりが|さわいでるのは|あとで|ゆっくり|みます| |まわりが|騒いでるのは|後で|ゆっくり|見ます|
|まわりの|ひとが|すごいだけ| |まわりの|人が|凄いだけ|
|まんがの|２かんは|きょねん|すえに|はつばいでしたね| |漫画の|2巻は|去年|末に|発売でしたね|
|まんがの|しんかんを|かってきた| |漫画の|新刊を|買ってきた|
|みえそうで|みえない| |見えそうで|見えない|
|みけいけんから|はじめた|なかまが|いっぱい| |未経験から|始めた|仲間が|いっぱい|
|みじかめに|おねがいします| |短めに|お願いします|
|みずから|りょうりを|かって|でた| |自ら|料理を|買って|出た|
|みずで|うすめた|くすりとか|うってそう| |水で|薄めた|薬とか|売ってそう|
|みずに|とけるような|ささやき|ごえ| |水に|溶けるような|囁き|声|
|みせは|３けんほど|しっている| |店は|3件ほど|知っている|
|みせを|しめる|じかん| |店を|閉める|時間|
|みたこと|ない|ぱたーんには|ひくい|かくりつを|わりあてる| |見たこと|無い|パターンには|低い|確率を|割り当てる|
|みたと|しゅちょうするけど|、|そんざいは|しゅちょうしない| |見たと|主張するけど|、|存在は|主張しない|
|みっか|れんぞくの|りりーす| |三日|連続の|リリース|
|みっかだけの|よていです| |3日だけの|予定です|
|みなかったことにしよう| |見なかったことにしよう|
|みます| |見ます|
|みょうに|しずかだけど|とくに|もんだいない| |妙に|静かだけど|特に|問題ない|
|みらいの|とし| |未来の|都市|
|みれると|おもったが| |見れると|思ったが|
|みんなで|よんで|ぎもんに|かんじた|ところを|ぎろんする| |みんなで|読んで|疑問に|感じた|ところを|議論する|
|むかしは|しはつ|でんしゃに|のって|そふとぼーるの|しあいに|でかけたりしてました| |昔は|始発|電車に|乗って|ソフトボールの|試合に|出かけたりしてました|
|むかしは|どれいのように|しゃいんを|あつかっていた| |昔は|奴隷のように|社員を|扱っていた|
|むかしは|ふるまいが|よそくできて|よかったという|ひとも|いますが| |昔は|振る舞いが|予測できて|良かったという|人も|いますが|
|むぎ|ほんらいの|あまみって|いわれても| |麦|本来の|甘味って|言われても|
|むしろ|ふそくを|もてあます| |むしろ|不足を|持て余す|
|むしろ|まずいと|おもっている| |むしろ|不味いと|思っている|
|むしろ|れいの|えいがっぽくて|わらったのだが| |むしろ|例の|映画っぽくて|笑ったのだが|
|むぼうな|しめきりを|せっていしてしまう| |無謀な|締切を|設定してしまう|
|むぼうな|もうそうを|じつげんさせる| |無謀な|妄想を|実現させる|
|むり|いいながらも| |無理|言いながらも|
|むりしないと| |無理しないと|
|むりだって|おもったんだけど| |無理だって|思ったんだけど|
|むりだと|おもうが| |無理だと|思うが|
|めーる|だしてみますので|へんじを|けんとうしてください| |メール|出してみますので|返事を|検討してください|
|めーるを|ひらくなんて|いいだしたのは|だれだ|？| |メールを|開くなんて|言い出したのは|誰だ|?|
|めいん|めもりで|どうき|とるのは|やめる| |メイン|メモリで|同期|取るのは|止める|
|めから|うろこが|おちる| |目から|鱗が|落ちる|
|めが|かゆい| |目が|かゆい|
|めが|わるい| |目が|悪い|
|めがねとか|いう|いぜんの|じょうきょうだ| |眼鏡とか|言う|以前の|状況だ|
|めざまし|かけたはずなのに|おきたら|ひるだった| |目覚まし|かけたはずなのに|起きたら|昼だった|
|めざましが|なった| |目覚ましが|鳴った|
|めし|いきませんか| |飯|行きませんか|
|めし|くえ| |飯|食え|
|めしを|くう| |飯を|食う|
|めずらしい|ひとが|ぶしつに|きているらしい| |珍しい|人が|部室に|来ているらしい|
|めったに|いかないけど|ただなのは|いいな| |滅多に|行かないけど|タダなのは|良いな|
|めったに|ないはずの|ことが|けっこう|はっせいしたように|おもう| |滅多に|無いはずの|事が|結構|発生したように|思う|
|めで|みて|みみで|きき|したで|あじわう| |目で|見て|耳で|聞き|舌で|味わう|
|めに|なみだを|うかべて|ないていた| |目に|涙を|浮かべて|泣いていた|
|めもり|あくせすの|ちゅうしょうか| |メモリ|アクセスの|抽象化|
|めんたーと|きくと|べつの|ものを|おもいうかべる| |メンターと|聞くと|別の|物を|思い浮かべる|
|めんばーたちと|そうさくに|むかったが|てがかりが|なかった| |メンバーたちと|捜索に|向かったが|手がかりが|無かった|
|もう|１８にちなんですね| |もう|１８日なんですね|
|もう|いちど|ただしい|めいしょうで|よびかけましょう| |もう|一度|正しい|名称で|呼びかけましょう|
|もう|いっかい|よみなおすと|いろいろ|はっけんできそう| |もう|一回|読み直すと|いろいろ|発見できそう|
|もう|げんかい| |もう|限界|
|もう|こんな|じかん| |もう|こんな|時間|
|もう|すこし|よい|かきかたが|できないか|かんがえたのですが| |もう|少し|良い|書き方が|できないか|考えたのですが|
|もう|すてられる|ぎじゅつなので|べつの|ことを|やった|ほうが|よい|きがする| |もう|捨てられる|技術なので|別の|事を|やった方が|良い|気がする|
|もう|そんな|じきか| |もう|そんな|時期か|
|もう|ひるすぎなので|はやく|おきてください| |もう|昼過ぎなので|早く|起きてください|
|もう|みんな|しっているかな| |もう|みんな|知っているかな|
|もうすぐ|りりーすって|ずっと|いってる| |もうすぐ|リリースって|ずっと|言ってる|
|もうすこし|しょうさいが|きまってから|れんらくすべきですね| |もう少し|詳細が|決まってから|連絡すべきですね|
|もうちょい|かしこくならないかな| |もうちょい|賢くならないかな|
|もうちょっと|まじめに|めいろの|つくりかたを|かんがえないと|だめだな| |もうちょっと|真面目に|迷路の|作り方を|考えないと|ダメだな|
|もうれつな|けりを|はなつために|じょじょに|ふかくなった| |猛烈な|蹴りを|放つために|徐々に|深くなった|
|もくひは|するけど|うそは|いわない| |黙秘は|するけど|嘘は|言わない|
|もじ|かぞえるだけで|なんで|そんな|むずかしい|いんたふぇーす| |文字|数えるだけで|なんで|そんな|難しい|インタフェース|
|もじこーど|まにあが|じぶんの|りょういきだと|かんちがいする| |文字コード|マニアが|自分の|領域だと|勘違いする|
|もじこーどの|わだいは|いつも|よく|もりあがりますねえ| |文字コードの|話題は|いつも|よく|盛り上がりますねえ|
|もじだけじゃなくて|たんごも|とうろくする| |文字だけじゃなくて|単語も|登録する|
|もじを|かく| |文字を|書く|
|もっさりした|どうさ| |モッサリした|動作|
|もっていき|そこねた|しりょうを| |持って行き|損ねた|資料を|
|もっと|いい|もの|くえば|よい| |もっと|良い|物|食えば|良い|
|もっと|いっぱい|でーたを|あつめることが|できれば|よいのですが| |もっと|いっぱい|データを|集めることが|できれば|良いのですが|
|もっと|ゆーざの|ほうを|みて|はんだんしてください| |もっと|ユーザの|方を|見て|判断してください|
|もっと|らくに|いきたら|いいのに| |もっと|楽に|生きたら|いいのに|
|もっとも|よわい|ばしょから|こうりゃくするのは|きほんです| |もっとも|弱い|場所から|攻略するのは|基本です|
|もつ| |持つ|
|もどってきても|いばしょが|ない|ばあいが|ある| |戻ってきても|居場所が|無い|場合が|ある|
|ものすごい|いっぱんてきな|ことを|しゃべってるんですよ| |ものすごい|一般的な|事を|喋ってるんですよ|
|ものすごい|とおまわりですね| |ものすごい|遠回りですね|
|もらった|おかねの|しとに|かんする|せいやくが|つよい| |もらった|お金の|使途に|関する|制約が|強い|
|もんだい|ありませんでした| |問題|ありませんでした|
|もんだいを|とききること|ができるか| |問題を|解ききること|ができるか|
|やいても|くえない| |焼いても|食えない|
|やが|てっぽうに|かなうわけないだろう| |矢が|鉄砲に|かなうわけないだろう|
|やくしゃ|ぶそく| |役者|不足|
|やくにんの|あいてって|むずかしいですね| |役人の|相手って|難しいですね|
|やさいと|くだものを|まいにち|かかさず|たべる| |野菜と|果物を|毎日|欠かさず|食べる|
|やすみに|きょうだいに|いく| |休みに|京大に|行く|
|やすんでます| |休んでます|
|やっぱり|まだ|なつには|なってないですね| |やっぱり|まだ|夏には|なってないですね|
|やまおくでの|がっしゅくから|２しゅうかんが|すぎた| |山奥での|合宿から|2週間が|過ぎた|
|やみは|すべてを|とかす| |闇は|すべてを|溶かす|
|やりが|ふる| |槍が|降る|
|やりだしたら|とまらない| |やりだしたら|止まらない|
|ゆーざ|にんしょうを|かけるのが|めんどう| |ユーザ|認証を|かけるのが|面倒|
|ゆーざの|たちばから|みた|しんらいせいというものを|ぎろんしないといけない|。| |ユーザの|立場から|見た|信頼性というものを|議論しないといけない|。|
|ゆーざの|にゅうりょくから|がくしゅうされた|でーた|および|とうろくされた|たんごは| |ユーザの|入力から|学習された|データ|及び|登録された|単語は|
|ゆうじんの|ぶろぐを|みて|まわる| |友人の|ブログを|見て|回る|
|ゆきが|すくなくて|くろうしているらしい| |雪が|少なくて|苦労しているらしい|
|ゆきが|ふれば|いいのに| |雪が|降れば|良いのに|
|ゆめは|ねん|いっかい|かたれば|じゅうぶん| |夢は|年|一回|語れば|十分|
|ゆりかごから|はかばまで| |ゆりかごから|墓場まで|
|ゆるやかな|すいたいの|かていに|ある| |緩やかな|衰退の|過程に|ある|
|ゆれまくる|うえに|ねむいので|べんきょう|どころではない| |揺れまくる|上に|眠いので|勉強|どころではない|
|ようきゅうが|あらいだされ|しようが|さだまる| |要求が|洗い出され|仕様が|定まる|
|ようとに|てきさない| |用途に|適さない|
|ようやく|ぎろんが|もりあがった| |ようやく|議論が|盛り上がった|
|ようやく|つぎの|とっぷ|えを|なににするか|きめた| |ようやく|次の|トップ|絵を|何にするか|決めた|
|よく|あることだから|ほうちしておいてください| |よく|あることだから|放置しておいてください|
|よく|まなべ| |よく|学べ|
|よく|わかったから|すきなように|やってくれませんか| |よく|分かったから|好きなように|やってくれませんか|
|よけいに|やるきが|なくなる| |余計に|やる気が|無くなる|
|よごれの|りょうによって|かげんする| |汚れの|量によって|加減する|
|よさげな|かんじがしますね| |良さげな|感じがしますね|
|よし|やった|けいさん|どおり| |よし|やった|計算|通り|
|よそう|いじょうに|むずかしい|はなしですね| |予想|以上に|難しい|話ですね|
|よてい|どおり|けっしょうには|てを|だしてないです| |予定|どおり|決勝には|手を|出してないです|
|よていより|１にち|おくれで|りりーすされました| |予定より|１日|遅れで|リリースされました|
|よにも|きみょうな|こうかを|じたくで|じっけんする|ほうほうを|しょうかいする| |世にも|奇妙な|効果を|自宅で|実験する|方法を|紹介する|
|よのなか|だいじな|いっぱんろん| |世の中|大事な|一般論|
|よのなかでは|こんな|あそびが|はつめいされているのですね| |世の中では|こんな|遊びが|発明されているのですね|
|よのなかに|２ひきぐらい|いるような|かんじ| |世の中に|2匹ぐらい|いるような|感じ|
|よやくならば|いい| |予約ならば|良い|
|よるに|であるくのは|きけんだ| |夜に|出歩くのは|危険だ|
|よるの|うんどうの|どがすぎた| |夜の|運動の|度が過ぎた|
|よわい| |弱い|
|らーめんを|ゆで|はじめる| |ラーメンを|茹で|始める|
|らいしゅうは|まじめに|しごとする| |来週は|真面目に|仕事する|
|らいしゅうまつは|はなみで|とうきょうまで|いきそう| |来週末は|花見で|東京まで|行きそう|
|らいとのべるじゃない|しょうせつも|よまないと|いけない| |ライトノベルじゃない|小説も|読まないと|いけない|
|らいねんからは|むりしない| |来年からは|無理しない|
|らくがきでも|まいにち|かいていると|じょうたつしてくる| |落書きでも|毎日|書いていると|上達してくる|
|らじお|たいそうに|さんかする| |ラジオ|体操に|参加する|
|りあるたいむで|うごくのが|じゅうような|ぽいんとです| |リアルタイムで|動くのが|重要な|ポイントです|
|りあるで|みたこと|ないのが|ゆとり|せだい| |リアルで|見たこと|ないのが|ゆとり|世代|
|りけいだけ|あつめて|しけんだった| |理系だけ|集めて|試験だった|
|りすとを|ながめてみたけど|さぷらいずは|なかったです| |リストを|眺めてみたけど|サプライズは|無かったです|
|りせいが|とぶ|ほどの|じこ| |理性が|飛ぶ|ほどの|事故|
|りそーす|きょうごうが|おきたときの|ぺなるてぃが|おおきい|きがする| |リソース|競合が|起きたときの|ペナルティが|大きい|気がする|
|りべんとなる|ことを|いとして|さくせいしました| |利便となる|事を|意図して|作成しました|
|りぼんを|はずさないと|あらえない| |リボンを|外さないと|洗えない|
|りぼんを|はずすと|きょうぼうになる| |リボンを|外すと|凶暴になる|
|りゅうきが|はじまったのは|つい|さいきん| |隆起が|始まったのは|つい|最近|
|りようした|こーどの|ひながたと|なります| |利用した|コードの|雛形と|なります|
|りようしゃの|ための|じょうほうを|あつめたらしいです| |利用者の|ための|情報を|集めたらしいです|
|りりーすは|かれに|まかせて|じぶんは|だらだらしよう| |リリースは|彼に|任せて|自分は|だらだらしよう|
|りりーすを|おくらせすぎる| |リリースを|遅らせすぎる|
|りれき|ちゅうの|もじれつと|ひかくする| |履歴|中の|文字列と|比較する|
|るーぷの|せんとうの|あらいんめんとが|ずれたりしたのかしら| |ループの|先頭の|アラインメントが|ずれたりしたのかしら|
|るるいえに|かえる| |ルルイエに|帰る|
|れいかいで|なにか|たべさせてあげる| |例会で|何か|食べさせてあげる|
|れいの|いべんとを|ふたたび|やることを|きかくしています| |例の|イベントを|再び|やることを|企画しています|
|れいぶん|ちゅうに|そんざいしない|ぱたーんなので|０に|ちかい|すこあ| |例文|中に|存在しない|パターンなので|0に|近い|スコア|
|れいぶん|ちゅうの|しゅうへん|じょうほうを|あつめる| |例文|中の|周辺|情報を|集める|
|れいぶんから|へんかん|けっかを|えて|ぱらめーたを|こうしんし| |例文から|変換|結果を|得て|パラメータを|更新し|
|れいぶんが|いっぱい|たまってくる| |例文が|いっぱい|溜まってくる|
|れいぶんの|なかを|けんさくできる| |例文の|中を|検索できる|
|れいぶんを|いろいろと|ついかする| |例文を|いろいろと|追加する|
|れいぶんを|ふやすと|しぜんな|こーどで|せいのうが|かせげる| |例文を|増やすと|自然な|コードで|性能が|稼げる|
|れきしから|まなぶ| |歴史から|学ぶ|
|れこーど|がいしゃって|いうけど|れこーど|みたこと|あるんですか|？| |レコード|会社って|言うけど|レコード|見たこと|あるんですか|?|
|れもんの|かおりが|いちめんに|ひろがる| |レモンの|香りが|一面に|広がる|
|ろーかるで|ためしても|だめだったので|べつの|ほうほうを|かんがえる| |ローカルで|試しても|ダメだったので|別の|方法を|考える|
|ろーまじ|にゅうりょくが|めんどう|なくて|いいですね| |ローマ字|入力が|面倒|無くて|良いですね|
|ろうさいって|つうきんじの|じこも|ふつうに|ふくまれるんだっけ|？| |労災って|通勤時の|事故も|普通に|含まれるんだっけ|?|
|ろうどうかんきょうを|あつかった|ばんぐみが|ふえましたね| |労働環境を|扱った|番組が|増えましたね|
|ろうどうとか|がくしゅうの|ほうが|いい| |労働とか|学習の|方が|いい|
|ろうにんちゅう|ひまだった| |浪人中|暇だった|
|ろんぶんを|かいたりする|ときには|べんり| |論文を|書いたりする|時には|便利|
|ろんぶんを|かいてはみたのですが|ていしゅつしないことにしました| |論文を|書いてはみたのですが|提出しないことにしました|
|わかさ|ゆえの|あやまちを|みとめる| |若さ|故の|過ちを|認める|
|わかての|さんかを|すいしょうしていました| |若手の|参加を|推奨していました|
|わからなさそうに|みえるので|せっきょくてきに|へんじは|もとめない| |判らなさそうに|見えるので|積極的に|返事は|求めない|
|わかりやすく|つくらないといけない| |わかりやすく|作らないといけない|
|わがくにに|とどまらず| |わが国に|とどまらず|
|わざわざ|いえに|いくほどの|ことは|ない| |わざわざ|家に|行くほどの|事は|無い|
|わしが|きょうとえきに|つくまで|つもらないようにして|ほしい| |わしが|京都駅に|着くまで|積もらないようにして|欲しい|
|わたしが|かんりしている|そふとの|じょうほうです| |私が|管理している|ソフトの|情報です|
|わたしたちが|いつでも|あたりまえのように|こきゅうを|している| |私たちが|いつでも|当たり前のように|呼吸を|している|
|わたしだろ| |私だろ|
|わたしなど|いつでも|たおせる| |私など|いつでも|倒せる|
|わたしの|なまえ| |私の|名前|
|わたしの|なまえは|たばたです| |私の|名前は|田畑です|
|わたしは|ぜんかい|いったときに|２こほど|かって| |私は|前回|行ったときに|2個ほど|買って|
|わたしは|ねこを|かう| |私は|猫を|飼う|
|わたしも|いちおう|てーまを|だしているので|おうぼしていただけると|ありがたいです| |私も|一応|テーマを|出しているので|応募していただけると|ありがたいです|
|わたしも|なにか|とらいしてみようかな| |私も|何か|トライしてみようかな|
|わだかまりを|みずに|ながす| |わだかまりを|水に|流す|
|わらいごとじゃ|すまない| |笑い事じゃ|すまない|
